Sample,Method,Control,Analyte,Units,Result,Outlier
4742027,OES,SRM75F_CL,Calcium,PCT_M-M,0.4513,No
4742027,OES,SRM75F_CL,Copper,MG_P_KG,3.3886,No
4742027,OES,SRM75F_CL,Zinc,MG_P_KG,33.0474,No
4742027,OES,SRM75F_CL,Iron,MG_P_KG,71.1319,No
4742978,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0532,No
4742978,OES,SRM75F_CL,Sodium,PCT_M-M,0.1921,No
4742978,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3705,No
4742978,OES,SRM75F_CL,Calcium,PCT_M-M,0.5096,No
4742978,OES,SRM75F_CL,Copper,MG_P_KG,4.1834,No
4742978,OES,SRM75F_CL,Zinc,MG_P_KG,41.8765,No
4742978,OES,SRM75F_CL,Potassium,PCT_M-M,0.7368,No
4742978,OES,SRM75F_CL,Iron,MG_P_KG,89.3042,No
4746904,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0534,No
4746904,OES,SRM75F_CL,Sodium,PCT_M-M,0.188,No
4746904,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3415,No
4746904,OES,SRM75F_CL,Calcium,PCT_M-M,0.5234,No
4746904,OES,SRM75F_CL,Copper,MG_P_KG,3.7522,No
4746904,OES,SRM75F_CL,Zinc,MG_P_KG,42.634,No
4746904,OES,SRM75F_CL,Iron,MG_P_KG,85.6635,No
4746904,OES,SRM75F_CL,Potassium,PCT_M-M,0.7316,No
4747585,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0501,No
4747585,OES,SRM75F_CL,Sodium,PCT_M-M,0.1829,No
4747585,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3252,No
4747585,OES,SRM75F_CL,Calcium,PCT_M-M,0.4977,No
4747585,OES,SRM75F_CL,Copper,MG_P_KG,3.8714,No
4747585,OES,SRM75F_CL,Zinc,MG_P_KG,38.9777,No
4747585,OES,SRM75F_CL,Potassium,PCT_M-M,0.698,No
4747585,OES,SRM75F_CL,Iron,MG_P_KG,82.1788,No
4750367,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0518,No
4750367,OES,SRM75F_CL,Sodium,PCT_M-M,0.2044,No
4750367,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3565,No
4750367,OES,SRM75F_CL,Calcium,PCT_M-M,0.513,No
4750367,OES,SRM75F_CL,Copper,MG_P_KG,4.3191,No
4750367,OES,SRM75F_CL,Zinc,MG_P_KG,40.4746,No
4750367,OES,SRM75F_CL,Iron,MG_P_KG,85.306,No
4750367,OES,SRM75F_CL,Potassium,PCT_M-M,0.7626,No
4751702,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0529,No
4751702,OES,SRM75F_CL,Sodium,PCT_M-M,0.1914,No
4751702,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3484,No
4751702,OES,SRM75F_CL,Calcium,PCT_M-M,0.5227,No
4751702,OES,SRM75F_CL,Copper,MG_P_KG,3.9849,No
4751702,OES,SRM75F_CL,Zinc,MG_P_KG,41.8386,No
4751702,OES,SRM75F_CL,Iron,MG_P_KG,88.2726,No
4751702,OES,SRM75F_CL,Potassium,PCT_M-M,0.758,No
4754860,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0524,No
4754860,OES,SRM75F_CL,Sodium,PCT_M-M,0.1941,No
4754860,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3574,No
4754860,OES,SRM75F_CL,Calcium,PCT_M-M,0.5172,No
4754860,OES,SRM75F_CL,Copper,MG_P_KG,4.019,No
4754860,OES,SRM75F_CL,Zinc,MG_P_KG,41.107,No
4754860,OES,SRM75F_CL,Iron,MG_P_KG,86.0491,No
4754860,OES,SRM75F_CL,Potassium,PCT_M-M,0.7689,No
4756651,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0546,No
4756651,OES,SRM75F_CL,Sodium,PCT_M-M,0.1928,No
4756651,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3542,No
4756651,OES,SRM75F_CL,Calcium,PCT_M-M,0.5361,No
4756651,OES,SRM75F_CL,Copper,MG_P_KG,4.1973,No
4756651,OES,SRM75F_CL,Zinc,MG_P_KG,42.9136,No
4756651,OES,SRM75F_CL,Iron,MG_P_KG,89.9055,No
4756651,OES,SRM75F_CL,Potassium,PCT_M-M,0.7743,No
4761280,OES,SRM75F_CL,Magnesium,PCT_M-M,0.055,No
4761280,OES,SRM75F_CL,Sodium,PCT_M-M,0.1969,No
4761280,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3472,No
4761280,OES,SRM75F_CL,Calcium,PCT_M-M,0.5406,No
4761280,OES,SRM75F_CL,Copper,MG_P_KG,3.9456,No
4761280,OES,SRM75F_CL,Zinc,MG_P_KG,42.5256,No
4761280,OES,SRM75F_CL,Potassium,PCT_M-M,0.7475,No
4761280,OES,SRM75F_CL,Iron,MG_P_KG,90.7132,No
4764118,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0577,No
4764118,OES,SRM75F_CL,Sodium,PCT_M-M,0.2027,No
4764118,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3569,No
4764118,OES,SRM75F_CL,Calcium,PCT_M-M,0.5683,No
4764118,OES,SRM75F_CL,Copper,MG_P_KG,4.3576,No
4764118,OES,SRM75F_CL,Zinc,MG_P_KG,44.7566,No
4764118,OES,SRM75F_CL,Potassium,PCT_M-M,0.801,No
4764118,OES,SRM75F_CL,Iron,MG_P_KG,96.6961,No
4765801,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0552,No
4765801,OES,SRM75F_CL,Sodium,PCT_M-M,0.1893,No
4765801,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3481,No
4765801,OES,SRM75F_CL,Calcium,PCT_M-M,0.5567,No
4765801,OES,SRM75F_CL,Copper,MG_P_KG,4.226,No
4765801,OES,SRM75F_CL,Zinc,MG_P_KG,42.5374,No
4765801,OES,SRM75F_CL,Potassium,PCT_M-M,0.7381,No
4765801,OES,SRM75F_CL,Iron,MG_P_KG,94.3655,No
4766343,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0542,No
4766343,OES,SRM75F_CL,Sodium,PCT_M-M,0.1957,No
4766343,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.346,No
4766343,OES,SRM75F_CL,Calcium,PCT_M-M,0.5342,No
4766343,OES,SRM75F_CL,Copper,MG_P_KG,3.9901,No
4766343,OES,SRM75F_CL,Zinc,MG_P_KG,42.1322,No
4766343,OES,SRM75F_CL,Iron,MG_P_KG,90.0607,No
4766343,OES,SRM75F_CL,Potassium,PCT_M-M,0.7889,No
4771065,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0538,No
4771065,OES,SRM75F_CL,Sodium,PCT_M-M,0.194,No
4771065,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.352,No
4771065,OES,SRM75F_CL,Calcium,PCT_M-M,0.5322,No
4771065,OES,SRM75F_CL,Copper,MG_P_KG,4.0144,No
4771065,OES,SRM75F_CL,Zinc,MG_P_KG,41.7877,No
4771065,OES,SRM75F_CL,Iron,MG_P_KG,88.0298,No
4771065,OES,SRM75F_CL,Potassium,PCT_M-M,0.7803,No
4771715,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0529,No
4771715,OES,SRM75F_CL,Sodium,PCT_M-M,0.1903,No
4771715,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3402,No
4771715,OES,SRM75F_CL,Calcium,PCT_M-M,0.535,No
4771715,OES,SRM75F_CL,Copper,MG_P_KG,3.927,No
4771715,OES,SRM75F_CL,Zinc,MG_P_KG,40.9528,No
4771715,OES,SRM75F_CL,Iron,MG_P_KG,87.1553,No
4771715,OES,SRM75F_CL,Potassium,PCT_M-M,0.7538,No
4772870,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0521,No
4772870,OES,SRM75F_CL,Sodium,PCT_M-M,0.1861,No
4772870,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3324,No
4772870,OES,SRM75F_CL,Calcium,PCT_M-M,0.5137,No
4772870,OES,SRM75F_CL,Copper,MG_P_KG,3.8548,No
4772870,OES,SRM75F_CL,Zinc,MG_P_KG,41.0103,No
4772870,OES,SRM75F_CL,Iron,MG_P_KG,87.4405,No
4772870,OES,SRM75F_CL,Potassium,PCT_M-M,0.7375,No
4774211,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0544,No
4774211,OES,SRM75F_CL,Sodium,PCT_M-M,0.2137,No
4774211,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3673,No
4774211,OES,SRM75F_CL,Calcium,PCT_M-M,0.5469,No
4774211,OES,SRM75F_CL,Copper,MG_P_KG,4.07,No
4774211,OES,SRM75F_CL,Zinc,MG_P_KG,42.3235,No
4774211,OES,SRM75F_CL,Iron,MG_P_KG,90.9684,No
4774211,OES,SRM75F_CL,Potassium,PCT_M-M,0.7808,No
4775433,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0516,No
4775433,OES,SRM75F_CL,Sodium,PCT_M-M,0.2025,No
4775433,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3496,No
4775433,OES,SRM75F_CL,Calcium,PCT_M-M,0.5193,No
4775433,OES,SRM75F_CL,Copper,MG_P_KG,3.8232,No
4775433,OES,SRM75F_CL,Zinc,MG_P_KG,39.9427,No
4775433,OES,SRM75F_CL,Potassium,PCT_M-M,0.7121,No
4775433,OES,SRM75F_CL,Iron,MG_P_KG,86.2975,No
4779368,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0543,No
4779368,OES,SRM75F_CL,Sodium,PCT_M-M,0.1941,No
4779368,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3468,No
4779368,OES,SRM75F_CL,Calcium,PCT_M-M,0.5402,No
4779368,OES,SRM75F_CL,Copper,MG_P_KG,4.0888,No
4779368,OES,SRM75F_CL,Zinc,MG_P_KG,42.2943,No
4779368,OES,SRM75F_CL,Iron,MG_P_KG,91.0062,No
4779368,OES,SRM75F_CL,Potassium,PCT_M-M,0.7922,No
4780309,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0537,No
4780309,OES,SRM75F_CL,Sodium,PCT_M-M,0.1883,No
4780309,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3528,No
4780309,OES,SRM75F_CL,Calcium,PCT_M-M,0.5252,No
4780309,OES,SRM75F_CL,Copper,MG_P_KG,4.0061,No
4780309,OES,SRM75F_CL,Zinc,MG_P_KG,42.177,No
4780309,OES,SRM75F_CL,Iron,MG_P_KG,86.9854,No
4780309,OES,SRM75F_CL,Potassium,PCT_M-M,0.7541,No
4783439,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0544,No
4783439,OES,SRM75F_CL,Sodium,PCT_M-M,0.1916,No
4783439,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3437,No
4783439,OES,SRM75F_CL,Calcium,PCT_M-M,0.5423,No
4783439,OES,SRM75F_CL,Copper,MG_P_KG,3.9929,No
4783439,OES,SRM75F_CL,Zinc,MG_P_KG,41.6967,No
4783439,OES,SRM75F_CL,Iron,MG_P_KG,75.6958,No
4783439,OES,SRM75F_CL,Potassium,PCT_M-M,0.7591,No
4783773,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0539,No
4783773,OES,SRM75F_CL,Sodium,PCT_M-M,0.1917,No
4783773,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3414,No
4783773,OES,SRM75F_CL,Calcium,PCT_M-M,0.5379,No
4783773,OES,SRM75F_CL,Copper,MG_P_KG,4.1053,No
4783773,OES,SRM75F_CL,Zinc,MG_P_KG,41.4397,No
4783773,OES,SRM75F_CL,Iron,MG_P_KG,75.7327,No
4783773,OES,SRM75F_CL,Potassium,PCT_M-M,0.7568,No
4784036,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0505,No
4784036,OES,SRM75F_CL,Sodium,PCT_M-M,0.1775,No
4784036,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3208,No
4784036,OES,SRM75F_CL,Calcium,PCT_M-M,0.5052,No
4784036,OES,SRM75F_CL,Copper,MG_P_KG,3.8789,No
4784036,OES,SRM75F_CL,Zinc,MG_P_KG,39.0054,No
4784036,OES,SRM75F_CL,Potassium,PCT_M-M,0.6979,No
4784036,OES,SRM75F_CL,Iron,MG_P_KG,68.8149,No
4786760,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0532,No
4786760,OES,SRM75F_CL,Sodium,PCT_M-M,0.1865,No
