"SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","REPORTED_UNITS","ENTRY","DATE_STARTED"
"7560603","09/07/2015 08:48:01 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","54.921247166","09/07/2015 09:18:44 AM"
"7569463","13/07/2015 06:56:24 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.242520994","13/07/2015 07:25:36 AM"
"7573364","14/07/2015 09:57:47 AM","LACT010493","ASHAIK","SRM11E","Lactose Monohydrate","PCT_M-M","55.502462675","14/07/2015 11:17:42 AM"
"7608134","25/07/2015 07:02:33 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.789360476","25/07/2015 07:36:40 AM"
"7622668","30/07/2015 07:31:16 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","56.061060246","30/07/2015 08:26:21 AM"
"7636177","04/08/2015 06:37:27 AM","LACT010493","IBOTROUS","SRM11E","Lactose Monohydrate","PCT_M-M","56.814717192","04/08/2015 07:27:23 AM"
"7648156","07/08/2015 08:04:24 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","54.975793766","07/08/2015 08:40:46 AM"
"7658679","11/08/2015 06:21:53 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.401873603","11/08/2015 07:01:54 AM"
"7681394","18/08/2015 06:25:45 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.535322167","18/08/2015 07:42:38 AM"
"7682107","18/08/2015 08:42:36 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.686766707","18/08/2015 10:41:23 AM"
"7685409","19/08/2015 06:27:59 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.655814592","19/08/2015 07:31:21 AM"
"7689889","20/08/2015 07:17:38 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","55.771608189","20/08/2015 07:53:30 AM"
"7704744","25/08/2015 06:29:15 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.690498779","25/08/2015 07:23:07 AM"
"7708733","26/08/2015 06:25:32 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.682688128","26/08/2015 07:22:51 AM"
"7721613","29/08/2015 06:56:07 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.569572393","29/08/2015 07:39:05 AM"
"7736899","03/09/2015 06:28:10 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.875466491","03/09/2015 07:19:43 AM"
"7752944","08/09/2015 08:39:50 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.211374458","08/09/2015 09:18:05 AM"
"7765279","11/09/2015 08:28:59 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","57.103838209","11/09/2015 11:19:23 AM"
"7772819","14/09/2015 08:35:45 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.484325095","14/09/2015 01:23:22 PM"
"7789443","18/09/2015 06:46:28 AM","LACT010493","IBOTROUS","SRM11E","Lactose Monohydrate","PCT_M-M","56.349287823","18/09/2015 07:40:42 AM"
"7801728","22/09/2015 07:30:00 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.298966122","22/09/2015 11:22:32 AM"
"7822525","28/09/2015 06:31:17 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.560497547","28/09/2015 07:29:01 AM"
"7830829","30/09/2015 07:22:20 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","55.633167337","30/09/2015 08:38:10 AM"
"7831600","30/09/2015 09:53:08 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","55.112819491","30/09/2015 10:50:46 AM"
"7834870","01/10/2015 07:15:53 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","55.635547727","01/10/2015 07:45:32 AM"
"7848615","06/10/2015 06:29:53 AM","LACT010493","IBOTROUS","SRM11E","Lactose Monohydrate","PCT_M-M","55.681849786","06/10/2015 07:45:36 AM"
"7858223","08/10/2015 09:41:28 AM","LACT010493","ASHAIK","SRM11E","Lactose Monohydrate","PCT_M-M","55.473112312","08/10/2015 11:59:06 AM"
